tmc,hour,vol.fraction
110+04174,18,0.059919
110+04174,19,0.067416
110+04174,20,0.053793
110+04174,21,0.046376
110+04174,22,0.038642
110+04174,23,0.025507
110+04175,0,0.011412
110+04175,1,0.005548
110+04175,2,0.004133
110+04175,3,0.003336
110+04175,4,0.005712
110+04175,5,0.019336
110+04175,6,0.047293
110+04175,7,0.069422
110+04175,8,0.058616
110+04175,9,0.052108
110+04175,10,0.044398
110+04175,11,0.046737
110+04175,12,0.052361
110+04175,13,0.060158
110+04175,14,0.072506
110+04175,15,0.070572
110+04175,16,0.044461
110+04175,17,0.04613
110+04175,18,0.056076
110+04175,19,0.065643
110+04175,20,0.053018
110+04175,21,0.047912
110+04175,22,0.039052
110+04175,23,0.024063
110+04176,0,0.010274
110+04176,1,0.005568
110+04176,2,0.004426
110+04176,3,0.004193
110+04176,4,0.008592
110+04176,5,0.026358
110+04176,6,0.047006
110+04176,7,0.060515
110+04176,8,0.056914
110+04176,9,0.051088
110+04176,10,0.046762
110+04176,11,0.048449
110+04176,12,0.052642
110+04176,13,0.056851
110+04176,14,0.068452
110+04176,15,0.056275
110+04176,16,0.05647
110+04176,17,0.062133
110+04176,18,0.065189
110+04176,19,0.062313
110+04176,20,0.04901
110+04176,21,0.044304
110+04176,22,0.03513
110+04176,23,0.021086
110+04177,0,0.010274
110+04177,1,0.005568
110+04177,2,0.004426
110+04177,3,0.004193
110+04177,4,0.008592
110+04177,5,0.026358
110+04177,6,0.047006
110+04177,7,0.060515
110+04177,8,0.056914
110+04177,9,0.051088
110+04177,10,0.046762
110+04177,11,0.048449
110+04177,12,0.052642
110+04177,13,0.056851
110+04177,14,0.068452
110+04177,15,0.056275
110+04177,16,0.05647
110+04177,17,0.062133
110+04177,18,0.065189
110+04177,19,0.062313
110+04177,20,0.04901
110+04177,21,0.044304
110+04177,22,0.03513
110+04177,23,0.021086
110+04178,0,0.011656
110+04178,1,0.006709
110+04178,2,0.004884
110+04178,3,0.004931
110+04178,4,0.008869
110+04178,5,0.026602
110+04178,6,0.047226
110+04178,7,0.058187
