TMC,YEAR,PERIOD,V/C_STRAIGHT_AVG,AVG_HOURLY_VAL
110+04151,2018,MIDD,0.734967254,4535.333333
110+04151,2018,PMP,0.691383369,4357.25
110+04151,2018,WE,0.729762435,4546.928571
110+04151,2019,AMP,0.768691183,4806
110+04151,2019,MIDD,0.743045351,4585
110+04151,2019,PMP,0.698982431,4405
110+04151,2019,WE,0.737783326,4596.714286
110+04151,2020,AMP,0.66964467,4187
110+04151,2020,MIDD,0.647303326,3994.333333
110+04151,2020,PMP,0.608917951,3837.5
110+04151,2020,WE,0.642719317,4004.571429
110+04151,2021,AMP,0.669590522,4186.5
110+04151,2021,MIDD,0.647250984,3994.166667
110+04151,2021,PMP,0.608868713,3837
110+04151,2021,WE,0.642667346,4004.214286
110+04151,2022,AMP,0.669292706,4184.75
