tmc,year,AMP Hour TMS,AMP TMS,AMP Lane TMS,AMP Hour Lane TMS,AMP Hour NPMRDS,AMP NPMRDS,AMP Lane NPMRDS,AMP Hour Lane NPMRDS,MIDD Hour TMS,MIDD TMS,MIDD Lane TMS,MIDD Hour Lane TMS,MIDD Hour NPMRDS,MIDD NPMRDS,MIDD Lane NPMRDS,MIDD Hour Lane NPMRDS,PMP Hour TMS,PMP TMS,PMP Lane TMS,PMP Hour Lane TMS,PMP Hour NPMRDS,PMP NPMRDS,PMP Lane NPMRDS,PMP Hour Lane NPMRDS,WE Hour TMS,WE TMS,WE Lane TMS,WE Hour Lane TMS,WE Hour NPMRDS,WE NPMRDS,WE Lane NPMRDS,WE Hour Lane NPMRDS
110-04950,2017,2842.111853,11368.44741,3789.48247,947.3706175,2599.753875,10399.0155,3466.3385,866.584625,1921.812305,11530.87383,3843.62461,640.6041017,1757.931863,10547.59118,3515.863727,585.9772878,2418.200111,9672.800445,3224.266815,806.0667038,2211.990743,8847.96297,2949.32099,737.3302475,2326.580121,32572.12169,10857.3739,775.5267069,2128.183546,29794.56965,9931.523217,709.3945155
110-04950,2018,2851.047075,11404.1883,3801.3961,950.349025,2749.359518,10997.43807,3665.81269,916.4531725,1927.854227,11567.12536,3855.708453,642.6180756,1859.09395,11154.5637,3718.1879,619.6979833,2425.80261,9703.21044,3234.40348,808.60087,2339.282138,9357.12855,3119.04285,779.7607125,2333.894579,32674.5241,10891.50803,777.9648595,2250.652166,31509.13032,10503.04344,750.2173886
110-04950,2019,2921.738113,11686.95245,3895.650817,973.9127042,2866.46626,11465.86504,3821.955013,955.4887533,1975.654917,11853.9295,3951.309833,658.5516389,1938.280552,11629.68331,3876.561103,646.0935172,2485.949813,9943.79925,3314.59975,828.6499375,2438.921966,9755.687865,3251.895955,812.9739888,2391.762943,33484.6812,11161.5604,797.2543143,2346.516873,32851.23622,10950.41207,782.172291
110-04950,2020,2252.545429,9010.181717,3003.393906,750.8484764,2874.847973,11499.39189,3833.13063,958.2826575,1523.152412,9138.91447,3046.304823,507.7174706,1943.948195,11663.68917,3887.89639,647.9827317,1916.569751,7666.279005,2555.426335,638.8565838,2446.053514,9784.214055,3261.404685,815.3511713,1843.955371,25815.37519,8605.125063,614.6517902,2353.378222,32947.29511,10982.4317,784.4594074
110-04951,2017,3018.782595,12075.13038,6037.56519,1509.391298,2604.948693,10419.79477,5209.897385,1302.474346,1987.4217,11924.5302,5962.2651,993.71085,1714.973303,10289.83982,5144.91991,857.4866517,2508.444833,10033.77933,5016.889665,1254.222416,2164.571274,8658.285094,4329.142547,1082.285637,2430.959993,34033.4399,17016.71995,1215.479996,2097.708549,29367.91969,14683.95985,1048.854275
110-04951,2018,3039.717065,12158.86826,6079.43413,1519.858533,2846.292103,11385.16841,5692.584205,1423.146051,2001.203952,12007.22371,6003.611855,1000.601976,1873.862232,11243.17339,5621.586695,936.9311158,2525.840243,10103.36097,5051.680485,1262.920121,2365.114576,9460.458302,4730.229151,1182.557288,2447.818067,34269.45294,17134.72647,1223.909034,2292.05715,32088.8001,16044.40005,1146.028575
110-04951,2019,3158.239605,12632.95842,6316.47921,1579.119803,2998.962505,11995.85002,5997.92501,1499.481253,2079.233508,12475.40105,6237.700525,1039.616754,1974.373103,11846.23862,5923.11931,987.1865517,2624.326053,10497.30421,5248.652105,1312.163026,2491.975411,9967.901644,4983.950822,1245.987706,2543.261691,35605.66368,17802.83184,1271.630846,2414.999306,33809.99029,16904.99515,1207.499653
110-04951,2020,2457.213413,9828.85365,4914.426825,1228.606706,3023.001328,12092.00531,6046.002655,1511.500664,1617.71148,9706.26888,4853.13444,808.85574,1990.199112,11941.19467,5970.597335,995.0995558,2041.811258,8167.24503,4083.622515,1020.905629,2511.95037,10047.80148,5023.90074,1255.975185,1978.74054,27702.36756,13851.18378,989.37027,2434.357247,34081.00146,17040.50073,1217.178624
110-04953,2017,2732.424223,10929.69689,3643.232297,910.8080742,2571.378198,10285.51279,3428.504263,857.1260658,3113.997268,18683.98361,6227.994537,1037.999089,2930.461755,17582.77053,5860.92351,976.820585,4115.469638,16461.87855,5487.29285,1371.823213,3872.908465,15491.63386,5163.877953,1290.969488,3291.11136,46075.55904,15358.51968,1097.03712,3097.136941,43359.91718,14453.30573,1032.37898
110-04953,2018,2730.821775,10923.2871,3641.0957,910.273925,2648.34578,10593.38312,3531.127707,882.7819267,3112.171043,18673.02626,6224.342087,1037.390348,3018.177577,18109.06546,6036.355153,1006.059192,4113.056093,16452.22437,5484.07479,1371.018698,3988.834,15955.336,5318.445333,1329.611333,3289.181266,46048.53773,15349.51258,1096.393755,3189.841756,44657.78458,14885.92819,1063.280585
110-04953,2019,2753.706735,11014.82694,3671.60898,917.902245,2604.779225,10419.1169,3473.038967,868.2597417,3138.251805,18829.51083,6276.50361,1046.083935,2968.527112,17811.16267,5937.054223,989.5090372,4147.524518,16590.09807,5530.03269,1382.508173,3923.215773,15692.86309,5230.954363,1307.738591,3316.745417,46434.43584,15478.14528,1105.581806,3137.367333,43923.14266,14641.04755,1045.789111
110-04953,2020,2188.543356,8754.173424,2918.057808,729.514452,2698.923045,10795.69218,3598.56406,899.641015,2494.165428,14964.99257,4988.330857,831.3884761,3075.817772,18454.90663,6151.635543,1025.272591,3296.297718,13185.19087,4395.063623,1098.765906,4065.011483,16260.04593,5420.01531,1355.003828,2636.02549,36904.35686,12301.45229,878.6751633,3250.760339,45510.64474,15170.21491,1083.58678
