tmc,AMP Truck,MIDD Truck,PMP Truck,WE Truck
110-04162,1.9305772,1.1128172,0.9761189,1.3124684
110-04163,1.9305772,1.1128172,0.9761189,1.3124684
110-04164,1.9343199,1.096721,0.9750078,1.3233545
110-04165,1.9266095,1.0928144,0.9708548,1.3152859
110-04166,1.9125398,1.0970891,0.967244,1.291725
110-04167,1.9350073,1.0753243,0.9623848,1.3117927
110-04168,1.9221085,1.0854688,0.9549164,1.2897208
110-04169,1.9389089,1.1091749,0.9639063,1.2939845
110-04170,1.9389089,1.1091749,0.9639063,1.2939845
110-04171,1.9389089,1.1091749,0.9639063,1.2939845
110-04172,1.9563225,1.112876,0.9683077,1.2921293
110-04173,1.9666864,1.1061307,0.9640102,1.2978358
110-04174,1.9083639,1.0956149,0.9811688,1.2837619
110-04175,1.9085734,1.0956149,0.9811688,1.2838189
110-04176,1.9536686,1.0913736,0.9680484,1.3448661
110-04177,1.9474948,1.0898918,0.9677567,1.3577868
110-04178,1.9479861,1.0919866,0.9725906,1.3568322
